Source;Target;Weight;;;
Carl Carlson;Principal Seymour Skinner;12;;;
Superintendent Gary Chalmers;Principal Seymour Skinner;20;;;
Comic Book Guy;Principal Seymour Skinner;11;;;
Mayor;Principal Seymour Skinner;14;;;
Professor John Frink;Principal Seymour Skinner;11;;;
Nelson Muntz;Principal Seymour Skinner;29;;;
Edna Krabappel;Principal Seymour Skinner;15;;;
Krusty the Clown;Principal Seymour Skinner;15;;;
Lenny Leonard;Principal Seymour Skinner;14;;;
Groundskeeper Willie;Principal Seymour Skinner;25;;;
Ralph Wiggum;Principal Seymour Skinner;12;;;
Moe Szyslak;Waylon Smithers;20;;;
Milhouse Van Houten;Waylon Smithers;10;;;
Carl Carlson;Waylon Smithers;17;;;
Krusty the Clown;Waylon Smithers;11;;;
Lenny Leonard;Waylon Smithers;22;;;
Milhouse Van Houten;Moe Szyslak;28;;;
Carl Carlson;Moe Szyslak;38;;;
Mayor;Moe Szyslak;12;;;
Professor John Frink;Moe Szyslak;12;;;
Nelson Muntz;Moe Szyslak;13;;;
Dr. Julius Hibbert;Moe Szyslak;10;;;
Krusty the Clown;Moe Szyslak;19;;;
Lenny Leonard;Moe Szyslak;42;;;
Groundskeeper Willie;Moe Szyslak;15;;;
Ralph Wiggum;Moe Szyslak;11;;;
Carl Carlson;Milhouse Van Houten;22;;;
Comic Book Guy;Milhouse Van Houten;12;;;
Mayor;Milhouse Van Houten;17;;;
Professor John Frink;Milhouse Van Houten;11;;;
Nelson Muntz;Milhouse Van Houten;35;;;
Dr. Julius Hibbert;Milhouse Van Houten;14;;;
Edna Krabappel;Milhouse Van Houten;13;;;
Krusty the Clown;Milhouse Van Houten;20;;;
Lenny Leonard;Milhouse Van Houten;24;;;
Groundskeeper Willie;Milhouse Van Houten;16;;;
Snake Jailbird;Milhouse Van Houten;12;;;
Ralph Wiggum;Milhouse Van Houten;13;;;
Krusty the Clown;Kent Brockman;10;;;
Mayor;Carl Carlson;10;;;
Nelson Muntz;Carl Carlson;13;;;
Krusty the Clown;Carl Carlson;11;;;
Lenny Leonard;Carl Carlson;66;;;
Nelson Muntz;Superintendent Gary Chalmers;12;;;
Groundskeeper Willie;Superintendent Gary Chalmers;13;;;
Lenny Leonard;Mayor;11;;;
Nelson Muntz;Professor John Frink;12;;;
Krusty the Clown;Itchy and Scratchy;10;;;
Krusty the Clown;Nelson Muntz;10;;;
Lenny Leonard;Nelson Muntz;15;;;
Groundskeeper Willie;Nelson Muntz;17;;;
Ralph Wiggum;Nelson Muntz;17;;;
Krusty the Clown;Dr. Julius Hibbert;10;;;
Lenny Leonard;Krusty the Clown;10;;;
Groundskeeper Willie;Krusty the Clown;14;;;
Ralph Wiggum;Krusty the Clown;10;;;
Ralph Wiggum;Lenny Leonard;10;;;
